Site,Habitat,coverhabs,cover,biomass,n15,Actiniaria,Aglajidae,Alpheidae,Amphinomidae,Amphipoda,Anaspidea,Anthuridae,Aplustridae,Asellota,Asterinidae,Bivalvia,Blennidae,Bonelliida,Brachyura,Buccinidae,Bullidae,Cancellaridae,Caprellidae,Cardiidae,Chitonidae,Cidaridae,Cirratulidae,Columbellidae,Conidae,Costellariidae,Crinoidea,Cumacea,Cypraeidae,Diadematidae,Dialidae,Diogenidae,Dromiidae,Epialtidae,Epitoniidae,Eunicidae,Fasciolariidae,Fissurellidae,Galatheidae,Gastropoda,Gobiidae,Golfingiidae,Gonodactylidae,Haliotidae,Haminoeidae,Hesionidae,Hippolytidae,Isopoda,Joeropsididae,Labridae,Limidae,Littorinidae,Majidae,Mitridae,Mollusca,Monacanthidae,Muricidae,Mysida,Mytilidae,Naticidae,Nematoda,Nemertea,Nereididae,Nudibranchia,Oligochaeta,Olividae,Ophiactidae,Ophidiasteridae,Ophiocomidae ,Ophiomyxidae ,Ophiotrichidae,Ophiuroidea,Opisthobranchia,Ostracoda,Ovulidae,Paguridae,Palaemonidae,Paranthuridae,Paratanaidae,Patellidae,Pectinidae,Penaeidae,Phascolosomatidae,Phasianellidae,Phyllodocidae,Pilumnidae,Plakobranchidae,Platyhelminthes,Pleurobranchidae,Polychaeta,Polynoidae,Pomacentridae,Porcellanidae,Portunidae,Potamididae,Pseudocerotidae,Pteriidae,Pycnogonida,Pyramidellidae,Rissoinidae,Scleractinia,Scorpaenidae,Sipuncula,Stenetriidae ,Stomatopoda,Strombidae,Syllidae,Tanaidacea,Terebellida,Terebridae,Tetraliidae ,Toxopneustidae,Trapeziidae,Triphoridae,Triviidae,Trochidae,Turbinellidae,Turbinidae,Turridae,Veneridae,Vermetidae,Volutidae,Xanthidae
NGK M,Dead_coral,2.876106195,0.541666667,32.90316667,1.434,0,0,1.209351182,0,0.945774642,0,0,0,0,0,0,0,0,0.108531516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.25090006,0,6.046755909,0,0,0.449630568,0,2.511729378,0,0.775225117,0,0,0,0,0,0.046513507,0.248072037,0,0,0,0,0,0.046513507,1.023297154,0,157.8978517,0,1.364396205,0,0,0,0,0,0.542657582,0,0,0,0,0,0,0.186054028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217063033,0,0,0,0.186054028,0,0,0,5.225017285,0.093027014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046513507,0,0,0,0,2.186134829
NGK M,Dead_coral,2.876106196,0.541666667,32.90316667,1.434,0,0,0.601313268,0.050109439,1.0272435,0,0,0,0,0,0,0,0,0,0.350766073,0,0,0.050109439,0,0,0,0,0,0,0.02505472,0,0,0,0,1.954268122,171.3617541,0,0.050109439,0,0,0.714059506,0.250547195,1.816467164,0,0.463512311,0,0,0,0,0.175383037,0.050109439,0.476039671,0.125273598,0,0,0,0,0,0,0,0,0,3.081730499,0,0,0.037582079,0.050109439,0,0.638895347,0,0.964606701,0,0.50109439,0,0,0.112746238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02505472,0,0,0,0.212965116,0,0,0,0,0.137800957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663950067,0,0,0,0,0,0,0,0,0,6.451590273
NGK M,Dead_coral,2.876106196,0.541666667,32.90316667,1.434,0,0,1.029782076,0,0.651185725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.8772319,0,0,0,0,2.317009672,0,1.332659158,0,0,0,0,0,0,0,0.090863124,0.272589373,0.060575416,0,0,0,1.892981758,0,0,0,0,0,0.060575416,0,0,0.015143854,0,0,0,0,0.07571927,0,0,6.739015059,0,0,0,0,0,0,0.832911974,0,0,0,0,0,0.136294687,1.317515304,6.436137978,0,0,0,0,0.499747184,0,0,0,0,0.620898017,0,0.136294687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257445519,0,0,0,0,10.13123837
NGK N,Dead_coral,0.526864607,0.16,20.29016667,2.274,0,0,0.204856836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658468401,0,0,0,0,0,0,0,14.6179985,1.43399785,1.448630482,0,0,0,0,2.619240972,0,0.453611565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.60367648,0,0,0,0,0.248754729,0,0,0,16.91532158,0,5.9701135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746264187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.643525151
NGK N,Dead_coral,0.526864607,0.16,20.29016667,2.274,0,0,0,0,2.291660897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.83677596,0,0,0,0,0,0,0.877055405,0,0,0,0,0,0,0,0.113168439,0.113168439,0,0,0,0,1.188268613,0,0,0,59.52659911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.261296074,0,0,0,0,0,0,0,0,0,0.02829211,0,0,0,0.02829211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7258187
NGK N,Dead_coral,0.526864607,0.16,20.29016667,2.274,0,0,0.535305762,1.167939845,2.919849613,0,0,0,0,0,0,0,0,0,0,0,0,0,1.508588967,0,0,0.194656641,0,0,0,0,0,0,0,0,71.48765135,0,0,0,0,0,0,0,0,0.291984961,0,0,0.681298243,0,0,0,0.09732832,0.04866416,0,3.211834574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.632634083,0,0,0,0,0,0,0,0,0,0,0,1.849238088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340649122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.343518761
NGK S,Dead_coral,5.882352941,0.625,29.38377778,1.86,0,0,1.373986299,0.047378838,0.497477798,0,0,0,0,5.638081709,0,0,0,0,0,0.047378838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734371987,17.15113932,0,0,0,0,0.355341284,0,0,0,0,0.805440244,0,0,0.142136514,0.118447095,0,0.497477798,0,0,0,0,2.440010151,0,0,0,0,0.071068257,0,0,0,0,0,0,0,0,0,0,0,0,12.93442274,0.023689419,0,0,0,0,0,0,0,0,0,0,0.284273027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.885064707
NGK S,Dead_coral,5.882352941,0.625,29.38377778,1.86,0,0,0.351430954,0,0.86506081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.271011187,0,0,0,0,1.135392313,0,2.405950377,0,0.513629856,0,0,0,0,0.486596706,0,0,0.216265202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297364653,1.432756966,0,0,0,0,0,0,0,7.704447837,0,0,0,0,0,0,0,0,0,0,0,0.86506081,0.02703315,0.270331503,0,0,0,0.351430954,0,0,0,0,3.622442141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.649701853
NGK S,Dead_coral,5.882352941,0.625,29.38377778,1.86,0,0,0,0.294605584,0.726693774,0,0,0,0,0,0,0,0,0,0,0.019640372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.178422336,0.235684467,0.805255263,0,0,0,0,0.314245956,0,0,0,0,0.333886329,0,0,0.157122978,0.019640372,0.039280745,0,0.25532484,0,4.890452696,0,0,0,0,0,0,0,0,0,0.019640372,0,0,0.019640372,0,30.9532267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078561489,0,0,0,0,0,0,0,0.058921117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471368935,0,0,0,0,0,0,0,0,0,1.964037227
SDO,Dead_coral,7.904642409,2.625,23.052,2.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315156213,0,0,0,0,0,0,5.529634077,1.120871772,0,0,0,0,0,0,14.87023218,0,0,0,0,0,0,8.922139307,0,0.119559656,0,0,0,0,0,1.987679276,0.089669742,0,0,0,0,0,0.269009225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82328475,0,0,0,0,0,0,0,6.426331494,0,0,0,0,0.209229397,0,0,0,0,91.23896226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82328475,0,0,0,0,28.39541823,0,0,0,0,2.525697727
