Site,Habitat,coverhabs,cover,biomass,n15,h,sw,simp,invsimp,j,Actiniaria,Aglajidae,Alpheidae,Amphinomidae,Amphipoda,Anaspidea,Anthuridae,Aplustridae,Asellota,Asterinidae,Bivalvia,Blennidae,Bonelliida,Brachyura,Buccinidae,Bullidae,Cancellaridae,Caprellidae,Cardiidae,Chitonidae,Cidaridae,Cirratulidae,Columbellidae,Conidae,Costellariidae,Crinoidea,Cumacea,Cypraeidae,Diadematidae,Dialidae,Diogenidae,Dromiidae,Epialtidae,Epitoniidae,Eunicidae,Fasciolariidae,Fissurellidae,Galatheidae,Gastropoda,Gobiidae,Golfingiidae,Gonodactylidae,Haliotidae,Haminoeidae,Hesionidae,Hippolytidae,Isopoda,Joeropsididae,Labridae,Limidae,Littorinidae,Majidae,Mitridae,Mollusca,Monacanthidae,Muricidae,Mysida,Mytilidae,Naticidae,Nematoda,Nemertea,Nereididae,Nudibranchia,Oligochaeta,Olividae,Ophiactidae,Ophidiasteridae,Ophiocomidae ,Ophiomyxidae ,Ophiotrichidae,Ophiuroidea,Opisthobranchia,Ostracoda,Ovulidae,Paguridae,Palaemonidae,Paranthuridae,Paratanaidae,Patellidae,Pectinidae,Penaeidae,Phascolosomatidae,Phasianellidae,Phyllodocidae,Pilumnidae,Plakobranchidae,Platyhelminthes,Pleurobranchidae,Polychaeta,Polynoidae,Pomacentridae,Porcellanidae,Portunidae,Potamididae,Pseudocerotidae,Pteriidae,Pycnogonida,Pyramidellidae,Rissoinidae,Scleractinia,Scorpaenidae,Sipuncula,Stenetriidae ,Stomatopoda,Strombidae,Syllidae,Tanaidacea,Terebellida,Terebridae,Tetraliidae ,Toxopneustidae,Trapeziidae,Triphoridae,Triviidae,Trochidae,Turbinellidae,Turbinidae,Turridae,Veneridae,Vermetidae,Volutidae,Xanthidae
Ngk_M,Dead_coral,2.876106195,0.541666667,32.90316667,1.434,2.21830071,2.21830071,0.775713436,4.458581842,0.717654559,0,0,108.5315163,0,806.2341212,0,0,0,0,0,0,0,0,15.50450233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.52251165,0,46.51350699,0,0,46.51350699,0,155.0450233,0,31.00900466,0,0,0,0,0,15.50450233,62.01800932,0,0,0,0,0,15.50450233,31.00900466,0,15.50450233,0,15.50450233,0,0,0,0,0,15.50450233,0,0,0,0,0,0,62.01800932,0,0,0,0,0,0,0,0,0,0,0,0,0,31.00900466,0,0,0,93.02701398,0,0,0,15.50450233,46.51350699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.50450233,0,0,0,0,77.52251165
Ngk_M,Dead_coral,2.876106196,0.541666667,32.90316667,1.434,2.635497999,2.635497999,0.86528,7.42280285,0.782674922,0,0,25.05471951,25.05471951,501.0943901,0,0,0,0,0,0,0,0,0,12.52735975,0,0,37.58207926,0,0,0,0,0,0,12.52735975,0,0,0,0,12.52735975,37.58207926,0,12.52735975,0,0,25.05471951,12.52735975,112.7462378,0,12.52735975,0,0,0,0,12.52735975,12.52735975,100.218878,100.218878,0,0,0,0,0,0,0,0,0,12.52735975,0,0,37.58207926,25.05471951,0,25.05471951,0,37.58207926,0,12.52735975,0,0,12.52735975,0,0,0,0,0,0,0,0,0,0,0,0,0,12.52735975,0,0,0,100.218878,0,0,0,0,50.10943901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.05471951,0,0,0,0,0,0,0,0,0,150.328317
Ngk_M,Dead_coral,2.876106196,0.541666667,32.90316667,1.434,2.436510535,2.436510535,0.874269006,7.953488372,0.78824881,0,0,75.71927033,0,393.7402057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.0139569,0,0,0,0,15.14385407,0,121.1508325,0,0,0,0,0,0,0,15.14385407,60.57541626,30.28770813,0,0,0,60.57541626,0,0,0,0,0,15.14385407,0,0,15.14385407,0,0,0,0,15.14385407,0,0,15.14385407,0,0,0,0,0,0,30.28770813,0,0,0,0,0,15.14385407,15.14385407,15.14385407,0,0,0,0,196.8701029,0,0,0,0,45.4315622,0,30.28770813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.14385407,0,0,0,0,318.0209354
Ngk_N,Dead_coral,0.526864607,0.16,20.29016667,2.274,2.162696145,2.162696145,0.83127572,5.926829268,0.843173039,0,0,14.63263113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.63263113,0,0,0,0,0,0,0,14.63263113,29.26526225,29.26526225,0,0,0,0,73.16315564,0,14.63263113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.63263113,0,0,0,0,14.63263113,0,0,0,14.63263113,0,14.63263113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.63263113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.6936801
Ngk_N,Dead_coral,0.526864607,0.16,20.29016667,2.274,1.528646025,1.528646025,0.618271605,2.619663648,0.637494907,0,0,0,0,763.8869658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.1684394,0,0,0,0,0,0,28.29210984,0,0,0,0,0,0,0,28.29210984,56.58421969,0,0,0,0,84.87632953,0,0,0,28.29210984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.29210984,0,0,0,0,0,0,0,0,0,28.29210984,0,0,0,28.29210984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.87632953
Ngk_N,Dead_coral,0.526864607,0.16,20.29016667,2.274,1.972017125,1.972017125,0.736614386,3.796714579,0.728205528,0,0,97.32832043,48.66416021,1021.947365,0,0,0,0,0,0,0,0,0,0,0,0,0,48.66416021,0,0,48.66416021,0,0,0,0,0,0,0,0,194.6566409,0,0,0,0,0,0,0,0,48.66416021,0,0,48.66416021,0,0,0,48.66416021,48.66416021,0,48.66416021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.66416021,0,0,0,0,0,0,0,0,0,0,0,97.32832043,0,0,0,0,0,0,0,0,0,0,0,0,0,97.32832043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.9924806
Ngk_S,Dead_coral,5.882352941,0.625,29.38377778,1.86,2.583453347,2.583453347,0.899954731,9.995475113,0.893813517,0,0,71.06825684,47.37883789,165.8259326,0,0,0,0,23.68941895,0,0,0,0,0,23.68941895,0,0,0,0,0,0,0,0,0,0,0,0,0,236.8941895,23.68941895,0,0,0,0,23.68941895,0,0,0,0,94.75767578,0,0,23.68941895,71.06825684,0,71.06825684,0,0,0,0,47.37883789,0,0,0,0,23.68941895,0,0,0,0,0,0,0,0,0,0,0,0,47.37883789,23.68941895,0,0,0,0,0,0,0,0,0,0,23.68941895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.06825684
Ngk_S,Dead_coral,5.882352941,0.625,29.38377778,1.86,2.398083512,2.398083512,0.875610457,8.03926097,0.846418261,0,0,54.06630061,0,351.430954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.03315031,0,0,0,0,81.09945092,0,108.1326012,0,27.03315031,0,0,0,0,27.03315031,0,0,54.06630061,0,0,0,0,0,0,0,0,0,0,0,0,0,27.03315031,27.03315031,0,0,0,0,0,0,0,27.03315031,0,0,0,0,0,0,0,0,0,0,0,297.3646534,27.03315031,54.06630061,0,0,0,81.09945092,0,0,0,0,81.09945092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243.2983528
Ngk_S,Dead_coral,5.882352941,0.625,29.38377778,1.86,2.26055418,2.26055418,0.803537101,5.090019569,0.754591523,0,0,0,19.64037227,392.8074454,0,0,0,0,0,0,0,0,0,0,19.64037227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64037227,19.64037227,19.64037227,0,0,0,0,39.28074454,0,0,0,0,19.64037227,0,0,39.28074454,19.64037227,19.64037227,0,19.64037227,0,39.28074454,0,0,0,0,0,0,0,0,0,19.64037227,0,0,19.64037227,0,19.64037227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64037227,0,0,0,0,0,0,0,19.64037227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.28074454,0,0,0,0,0,0,0,0,0,176.7633504
SDO,Dead_coral,7.904642409,2.625,23.052,2.006,1.93861402,1.93861402,0.724977043,3.6360601,0.699207208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.94495696,0,0,0,0,0,0,29.88991393,14.94495696,0,0,0,0,0,0,74.72478482,0,0,0,0,0,0,493.1835798,0,14.94495696,0,0,0,0,0,59.77982785,14.94495696,0,0,0,0,0,29.88991393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.66974178,0,0,0,0,0,0,0,29.88991393,0,0,0,0,14.94495696,0,0,0,0,14.94495696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.88991393,0,0,0,0,14.94495696,0,0,0,0,44.83487089
