phyloorder,OTTid,OTTname,fg,originalname,class,phylum,logweight,avgsize,avgbio,avgwgt,mobility,diet,calcifier,chordate,segmented,legnum,symmetry,spines,shells,obligate associates
123,1084481,Actiniaria,10,Actiniaria,Anthozoa,Cnidaria,-2.706348626,1.02,1.337271991,0.0021,0,1,0,0,0,0,0,0,0,0
44,823226,Aglajidae,10,Aglajidae,Gastropoda,Mollusca,-2.298141668,5.4,3.39536731,0.005222222,4,3,0,0,0,1,0,0,0,0
97,471793,Alpheidae,3,Alpheidae,Malacostraca,Arthropoda (Crustacea),-1.718869934,10.07650602,43.06105811,0.112831325,2,3,1,0,1,4,0,0,0,0
12,884677,Amphinomidae,12,Amphinomidae,Polychaeta,Annelida,-2.31819044,7.534482759,12.16445408,0.008310345,2,3,0,0,1,0,0,0,0,0
80,941215,Gammaridea,1,Amphipoda,Malacostraca,Arthropoda (Crustacea),-2.676421918,3.628222997,1.898228487,0.002810105,2,1,1,0,1,6,0,0,0,0
45,126309,Anaspidea,10,Anaspidea,Gastropoda,Mollusca,-2.41195437,4.4,4.617141389,0.004,4,2,0,0,0,1,0,0,0,0
70,755799,Anthuridae,1,Anthuridae,Malacostraca,Arthropoda (Crustacea),-2.7,5.36,2.417918322,0.0027,2,1,1,0,1,6,0,0,0,0
51,830518,Aplustridae,6,Aplustridae,Gastropoda,Mollusca,-1.979303657,2.95,9.478441118,0.0105,4,3,1,0,0,1,0,0,1,0
74,301631,Haploniscidae,1,Asellota,Malacostraca,Arthropoda (Crustacea),-2.980204688,3.425,1.898083527,0.002275,2,1,1,0,1,6,0,0,0,0
118,831359,Cryptasterina,13,Asterinidae,Asteroidea,Echinodermata,-1.3007546,4.44,51.38270088,0.0749,2,1,0,0,0,2,1,0,0,0
64,255553,Tridacnidae,8,Bivalvia,Bivalvia,Mollusca,-2.37517932,2.390909091,6.109964802,0.008454545,0,1,1,0,0,1,0,0,2,0
110,867524,Blenniidae,11,Blennidae,Actinopterygii,Chordata,-1.508638306,14.1,18.1438841,0.031,1,1,0,1,0,0,0,0,0,0
1,745874,Bonelliidae,12,Bonelliida,Polychaeta,Annelida,-2.541968662,3.266666667,3.796675662,0.005166667,3,0,0,0,1,0,0,0,0,0
90,5799344,Hypoconchinae,1,Brachyura,Malacostraca,Arthropoda (Crustacea),-2.15490196,2.1,1.085315163,0.007,2,1,1,0,1,4,0,0,0,0
26,376924,Buccinidae,6,Buccinidae,Gastropoda,Mollusca,-2.135094558,3.607142857,36.35431123,0.055928571,4,3,1,0,0,1,0,0,1,0
43,848005,Bullidae,5,Bullidae,Gastropoda,Mollusca,-2.324834634,2.06875,4.114021203,0.007895833,4,2,1,0,0,1,0,0,1,0
28,852134,Cancellariidae,6,Cancellariidae,Gastropoda,Mollusca,-2.347696977,2.874193548,3.178872101,0.005096774,4,3,1,0,0,1,0,0,1,0
81,152663,Caprellidae,1,Caprellidae,Malacostraca,Arthropoda (Crustacea),-2.973823479,6.073913043,0.597498679,0.001086957,2,1,1,0,1,6,0,0,0,0
65,5703923,Laevicardiinae,8,Cardiidae,Bivalvia,Mollusca,-1.71472853,3.15,13.03111693,0.0215,3,1,1,0,0,1,0,0,2,0
66,542188,Chitonidae,5,Chitonidae,Polyplacophora,Mollusca,-1.962877955,6.127272727,42.40424409,0.055454545,4,2,1,0,0,1,0,0,1,0
121,146859,Cidaridae,14,Cidaridae,Echinoidea,Echinodermata,-1.170064078,5.066666667,105.0553086,0.142833333,2,1,1,0,0,0,1,1,0,0
4,1067346,Cirratulidae,12,Cirratulidae,Polychaeta,Annelida,-2.397940009,11.15,2.330807081,0.004,3,0,0,0,1,0,0,0,0,0
24,140406,Columbellidae,7,Columbellidae,Gastropoda,Mollusca,-1.074198525,8.261111111,94.03932447,0.235777778,4,1,1,0,0,1,0,0,1,0
23,700410,Conidae,6,Conidae,Gastropoda,Mollusca,-0.836938076,8.421052632,113.6213827,0.267,4,3,1,0,0,1,0,0,1,0
16,788574,Costellariidae,6,Costellariidae ,Gastropoda,Mollusca,-2.330205456,3.803409091,6.133636417,0.009291667,4,3,1,0,0,1,0,0,1,0
122,732545,Crinoidea,13,Crinoidea,Crinoidea,Echinodermata,-0.656360404,6.3,194.7685386,1.026,2,1,0,0,0,0,1,0,0,0
77,619740,Cumacea,1,Cumacea,Malacostraca,Arthropoda (Crustacea),-2.397940009,6.4,2.514272192,0.004,2,0,1,0,1,4,0,0,0,0
38,272319,Cypraeidae,7,Cypraeidae,Gastropoda,Mollusca,-0.912894449,8.4,417.684412,0.571,4,1,1,0,0,1,0,0,1,0
120,631173,Diadematidae,14,Diadematidae,Echinoidea,Echinodermata,-2.28278659,2.642857143,4.448828865,0.006285714,2,1,1,0,0,0,1,1,0,0
40,512263,Hydrococcidae,7,Dialidae,Gastropoda,Mollusca,-2.52547458,2.390909091,2.635624528,0.007969697,4,1,1,0,0,1,0,0,1,0
93,5089719,Diogenes,2,Diogenidae,Malacostraca,Arthropoda (Crustacea),-0.299037743,14.71891892,481.0900276,1.183408108,2,1,1,0,1,4,0,0,1,0
91,5799343,Dromiinae,1,Dromiidae,Malacostraca,Arthropoda (Crustacea),-1.651363087,3.642857143,19.83914668,0.037428571,2,1,1,0,1,4,0,0,0,0
88,534671,Tiarinia,1,Epialtidae,Malacostraca,Arthropoda (Crustacea),1.5,3.4235,29.88948524,0.101823529,2,1,1,0,1,4,0,0,0,0
29,828042,Calopiidae,6,Epitoniidae,Gastropoda,Mollusca,-1.823908741,8,3.69488978,0.015,4,3,1,0,0,1,0,0,1,0
11,438827,Lysidice,12,Eunicidae,Polychaeta,Annelida,-2.581575832,6.733333333,0.946598999,0.002666667,3,1,0,0,1,0,0,0,0,0
25,700418,Fasciolariidae,6,Fasciolariidae,Gastropoda,Mollusca,-1.850172035,4.394067797,21.11670071,0.034271186,4,3,1,0,0,1,0,0,1,0
54,335843,Fissurellidae,6,Fissurellidae,Gastropoda,Mollusca,-1.516394642,5.278571429,58.25898242,0.234142857,4,4,1,0,0,1,0,0,1,0
94,331357,Galathea,1,Galatheidae,Malacostraca,Arthropoda (Crustacea),-1.918996926,2.052968037,11.16044171,0.018739726,2,1,1,0,1,4,0,0,0,0
56,935091,Liotiidae,7,Gastropoda,Gastropoda,Mollusca,-2.159097005,2.125,6.361562375,0.00725,4,1,1,0,0,1,0,0,1,0
111,5554918,Gobiiformes,11,Gobiidae,Actinopterygii,Chordata,-1.543129164,12.72238806,26.06389139,0.04919403,1,3,0,1,0,0,0,0,0,0
14,76597,Golfingiidae,10,Golfingiidae,Sipunculidea,Sipuncula,-2.093286646,12.525,2.01360061,0.0085,3,0,0,0,0,0,0,0,0,0
